PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Fare_range,Age_range,Family
1,0,3,0,0,22,1,0,7.25,-1,2,1,2,1
2,1,1,1,1,38,1,0,71.2833,2,0,8,3,1
3,1,3,2,1,26,0,0,7.925,-1,2,1,2,0
4,1,1,1,1,35,1,0,53.1,2,2,6,3,1
5,0,3,0,0,35,0,0,8.05,-1,2,1,3,0
6,0,3,0,0,0,0,0,8.4583,-1,1,1,-1,0
7,0,1,0,0,54,0,0,51.8625,4,2,6,5,0
8,0,3,3,0,2,3,1,21.075,-1,2,3,0,4
9,1,3,1,1,27,0,2,11.1333,-1,2,2,2,2
10,1,2,1,1,14,1,0,30.0708,-1,0,4,1,1
11,1,3,2,1,4,1,1,16.7,6,2,2,0,2
12,1,1,2,1,58,0,0,26.55,2,2,3,5,0
13,0,3,0,0,20,0,0,8.05,-1,2,1,2,0
14,0,3,0,0,39,1,5,31.275,-1,2,4,3,6
15,0,3,2,1,14,0,0,7.8542,-1,2,1,1,0
16,1,2,1,1,55,0,0,16.0,-1,2,2,5,0
17,0,3,3,0,2,4,1,29.125,-1,1,3,0,5
18,1,2,0,0,0,0,0,13.0,-1,2,2,-1,0
19,0,3,1,1,31,1,0,18.0,-1,2,2,3,1
20,1,3,1,1,0,0,0,7.225,-1,0,1,-1,0
21,0,2,0,0,35,0,0,26.0,-1,2,3,3,0
22,1,2,0,0,34,0,0,13.0,3,2,2,3,0
23,1,3,2,1,15,0,0,8.0292,-1,1,1,1,0
24,1,1,0,0,28,0,0,35.5,0,2,4,2,0
25,0,3,2,1,8,3,1,21.075,-1,2,3,0,4
26,1,3,1,1,38,1,5,31.3875,-1,2,4,3,6
27,0,3,0,0,0,0,0,7.225,-1,0,1,-1,0
28,0,1,0,0,19,3,2,263.0,2,2,21,1,5
29,1,3,2,1,0,0,0,7.8792,-1,1,1,-1,0
30,0,3,0,0,0,0,0,7.8958,-1,2,1,-1,0
31,0,1,0,0,40,0,0,27.7208,-1,0,3,4,0
32,1,1,1,1,0,1,0,146.5208,1,0,15,-1,1
33,1,3,2,1,0,0,0,7.75,-1,1,1,-1,0
34,0,2,0,0,66,0,0,10.5,-1,2,2,6,0
35,0,1,0,0,28,1,0,82.1708,-1,0,9,2,1
36,0,1,0,0,42,1,0,52.0,-1,2,6,4,1
37,1,3,0,0,0,0,0,7.2292,-1,0,1,-1,0
38,0,3,0,0,21,0,0,8.05,-1,2,1,2,0
39,0,3,2,1,18,2,0,18.0,-1,2,2,1,2
40,1,3,2,1,14,1,0,11.2417,-1,0,2,1,1
41,0,3,1,1,40,1,0,9.475,-1,2,1,4,1
42,0,2,1,1,27,1,0,21.0,-1,2,3,2,1
43,0,3,0,0,0,0,0,7.8958,-1,0,1,-1,0
44,1,2,2,1,3,1,2,41.5792,-1,0,5,0,3
45,1,3,2,1,19,0,0,7.8792,-1,1,1,1,0
46,0,3,0,0,0,0,0,8.05,-1,2,1,-1,0
47,0,3,0,0,0,1,0,15.5,-1,1,2,-1,1
48,1,3,2,1,0,0,0,7.75,-1,1,1,-1,0
49,0,3,0,0,0,2,0,21.6792,-1,0,3,-1,2
50,0,3,1,1,18,1,0,17.8,-1,2,2,1,1
51,0,3,3,0,7,4,1,39.6875,-1,2,4,0,5
52,0,3,0,0,21,0,0,7.8,-1,2,1,2,0
53,1,1,1,1,49,1,0,76.7292,3,0,8,4,1
54,1,2,1,1,29,1,0,26.0,-1,2,3,2,1
55,0,1,0,0,65,0,1,61.9792,1,0,7,6,1
56,1,1,0,0,0,0,0,35.5,2,2,4,-1,0
57,1,2,2,1,21,0,0,10.5,-1,2,2,2,0
58,0,3,0,0,28,0,0,7.2292,-1,0,1,2,0
59,1,2,2,1,5,1,2,27.75,-1,2,3,0,3
60,0,3,3,0,11,5,2,46.9,-1,2,5,1,7
61,0,3,0,0,22,0,0,7.2292,-1,0,1,2,0
62,1,1,2,1,38,0,0,80.0,1,-1,9,3,0
63,0,1,0,0,45,1,0,83.475,2,2,9,4,1
64,0,3,3,0,4,3,2,27.9,-1,2,3,0,5
65,0,1,0,0,0,0,0,27.7208,-1,0,3,-1,0
66,1,3,3,0,0,1,1,15.2458,-1,0,2,-1,2
67,1,2,1,1,29,0,0,10.5,5,2,2,2,0
68,0,3,0,0,19,0,0,8.1583,-1,2,1,1,0
69,1,3,2,1,17,4,2,7.925,-1,2,1,1,6
70,0,3,0,0,26,2,0,8.6625,-1,2,1,2,2
71,0,2,0,0,32,0,0,10.5,-1,2,2,3,0
72,0,3,2,1,16,5,2,46.9,-1,2,5,1,7
73,0,2,0,0,21,0,0,73.5,-1,2,8,2,0
74,0,3,0,0,26,1,0,14.4542,-1,0,2,2,1
75,1,3,0,0,32,0,0,56.4958,-1,2,6,3,0
76,0,3,0,0,25,0,0,7.65,5,2,1,2,0
77,0,3,0,0,0,0,0,7.8958,-1,2,1,-1,0
78,0,3,0,0,0,0,0,8.05,-1,2,1,-1,0
79,1,2,3,0,0,0,2,29.0,-1,2,3,0,2
80,1,3,2,1,30,0,0,12.475,-1,2,2,3,0
81,0,3,0,0,22,0,0,9.0,-1,2,1,2,0
82,1,3,0,0,29,0,0,9.5,-1,2,1,2,0
83,1,3,2,1,0,0,0,7.7875,-1,1,1,-1,0
84,0,1,0,0,28,0,0,47.1,-1,2,5,2,0
85,1,2,2,1,17,0,0,10.5,-1,2,2,1,0
86,1,3,1,1,33,3,0,15.85,-1,2,2,3,3
87,0,3,0,0,16,1,3,34.375,-1,2,4,1,4
88,0,3,0,0,0,0,0,8.05,-1,2,1,-1,0
89,1,1,2,1,23,3,2,263.0,2,2,21,2,5
90,0,3,0,0,24,0,0,8.05,-1,2,1,2,0
91,0,3,0,0,29,0,0,8.05,-1,2,1,2,0
92,0,3,0,0,20,0,0,7.8542,-1,2,1,2,0
93,0,1,0,0,46,1,0,61.175,4,2,7,4,1
94,0,3,0,0,26,1,2,20.575,-1,2,3,2,3
95,0,3,0,0,59,0,0,7.25,-1,2,1,5,0
96,0,3,0,0,0,0,0,8.05,-1,2,1,-1,0
97,0,1,0,0,71,0,0,34.6542,0,0,4,7,0
98,1,1,0,0,23,0,1,63.3583,3,0,7,2,1
99,1,2,1,1,34,0,1,23.0,-1,2,3,3,1
100,0,2,0,0,34,1,0,26.0,-1,2,3,3,1
101,0,3,2,1,28,0,0,7.8958,-1,2,1,2,0
102,0,3,0,0,0,0,0,7.8958,-1,2,1,-1,0
103,0,1,0,0,21,0,1,77.2875,3,2,8,2,1
104,0,3,0,0,33,0,0,8.6542,-1,2,1,3,0
105,0,3,0,0,37,2,0,7.925,-1,2,1,3,2
106,0,3,0,0,28,0,0,7.8958,-1,2,1,2,0
107,1,3,2,1,21,0,0,7.65,-1,2,1,2,0
108,1,3,0,0,0,0,0,7.775,-1,2,1,-1,0
109,0,3,0,0,38,0,0,7.8958,-1,2,1,3,0
110,1,3,2,1,0,1,0,24.15,-1,1,3,-1,1
111,0,1,0,0,47,0,0,52.0,2,2,6,4,0
112,0,3,2,1,14,1,0,14.4542,-1,0,2,1,1
113,0,3,0,0,22,0,0,8.05,-1,2,1,2,0
114,0,3,2,1,20,1,0,9.825,-1,2,1,2,1
115,0,3,2,1,17,0,0,14.4583,-1,0,2,1,0
116,0,3,0,0,21,0,0,7.925,-1,2,1,2,0
117,0,3,0,0,70,0,0,7.75,-1,1,1,7,0
118,0,2,0,0,29,1,0,21.0,-1,2,3,2,1
119,0,1,0,0,24,0,1,247.5208,1,0,21,2,1
120,0,3,2,1,2,4,2,31.275,-1,2,4,0,6
121,0,2,0,0,21,2,0,73.5,-1,2,8,2,2
122,0,3,0,0,0,0,0,8.05,-1,2,1,-1,0
123,0,2,0,0,32,1,0,30.0708,-1,0,4,3,1
124,1,2,2,1,32,0,0,13.0,4,2,2,3,0
125,0,1,0,0,54,0,1,77.2875,3,2,8,5,1
126,1,3,3,0,12,1,0,11.2417,-1,0,2,1,1
127,0,3,0,0,0,0,0,7.75,-1,1,1,-1,0
128,1,3,0,0,24,0,0,7.1417,-1,2,1,2,0
129,1,3,2,1,0,1,1,22.3583,4,0,3,-1,2
130,0,3,0,0,45,0,0,6.975,-1,2,1,4,0
131,0,3,0,0,33,0,0,7.8958,-1,0,1,3,0
132,0,3,0,0,20,0,0,7.05,-1,2,1,2,0
133,0,3,1,1,47,1,0,14.5,-1,2,2,4,1
134,1,2,1,1,29,1,0,26.0,-1,2,3,2,1
135,0,2,0,0,25,0,0,13.0,-1,2,2,2,0
136,0,2,0,0,23,0,0,15.0458,-1,0,2,2,0
137,1,1,2,1,19,0,2,26.2833,3,2,3,1,2
138,0,1,0,0,37,1,0,53.1,2,2,6,3,1
139,0,3,0,0,16,0,0,9.2167,-1,2,1,1,0
140,0,1,0,0,24,0,0,79.2,1,0,8,2,0
141,0,3,1,1,0,0,2,15.2458,-1,0,2,-1,2
142,1,3,2,1,22,0,0,7.75,-1,2,1,2,0
143,1,3,1,1,24,1,0,15.85,-1,2,2,2,1
144,0,3,0,0,19,0,0,6.75,-1,1,1,1,0
145,0,2,0,0,18,0,0,11.5,-1,2,2,1,0
146,0,2,0,0,19,1,1,36.75,-1,2,4,1,2
147,1,3,0,0,27,0,0,7.7958,-1,2,1,2,0
148,0,3,2,1,9,2,2,34.375,-1,2,4,0,4
149,0,2,0,0,36,0,2,26.0,5,2,3,3,2
150,0,2,0,0,42,0,0,13.0,-1,2,2,4,0
151,0,2,0,0,51,0,0,12.525,-1,2,2,5,0
152,1,1,1,1,22,1,0,66.6,2,2,7,2,1
153,0,3,0,0,55,0,0,8.05,-1,2,1,5,0
154,0,3,0,0,40,0,2,14.5,-1,2,2,4,2
155,0,3,0,0,0,0,0,7.3125,-1,2,1,-1,0
156,0,1,0,0,51,0,1,61.3792,-1,0,7,5,1
157,1,3,2,1,16,0,0,7.7333,-1,1,1,1,0
158,0,3,0,0,30,0,0,8.05,-1,2,1,3,0
159,0,3,0,0,0,0,0,8.6625,-1,2,1,-1,0
160,0,3,3,0,0,8,2,69.55,-1,2,7,-1,10
161,0,3,0,0,44,0,1,16.1,-1,2,2,4,1
162,1,2,1,1,40,0,0,15.75,-1,2,2,4,0
163,0,3,0,0,26,0,0,7.775,-1,2,1,2,0
164,0,3,0,0,17,0,0,8.6625,-1,2,1,1,0
165,0,3,3,0,1,4,1,39.6875,-1,2,4,0,5
166,1,3,3,0,9,0,2,20.525,-1,2,3,0,2
167,1,1,1,1,0,0,1,55.0,4,2,6,-1,1
168,0,3,1,1,45,1,4,27.9,-1,2,3,4,5
169,0,1,0,0,0,0,0,25.925,-1,2,3,-1,0
170,0,3,0,0,28,0,0,56.4958,-1,2,6,2,0
171,0,1,0,0,61,0,0,33.5,1,2,4,6,0
172,0,3,3,0,4,4,1,29.125,-1,1,3,0,5
173,1,3,2,1,1,1,1,11.1333,-1,2,2,0,2
174,0,3,0,0,21,0,0,7.925,-1,2,1,2,0
175,0,1,0,0,56,0,0,30.6958,0,0,4,5,0
176,0,3,0,0,18,1,1,7.8542,-1,2,1,1,2
177,0,3,3,0,0,3,1,25.4667,-1,2,3,-1,4
178,0,1,2,1,50,0,0,28.7125,2,0,3,5,0
179,0,2,0,0,30,0,0,13.0,-1,2,2,3,0
180,0,3,0,0,36,0,0,0.0,-1,2,1,3,0
181,0,3,2,1,0,8,2,69.55,-1,2,7,-1,10
182,0,2,0,0,0,0,0,15.05,-1,0,2,-1,0
183,0,3,3,0,9,4,2,31.3875,-1,2,4,0,6
184,1,2,3,0,1,2,1,39.0,5,2,4,0,3
185,1,3,2,1,4,0,2,22.025,-1,2,3,0,2
186,0,1,0,0,0,0,0,50.0,0,2,6,-1,0
187,1,3,1,1,0,1,0,15.5,-1,1,2,-1,1
188,1,1,0,0,45,0,0,26.55,-1,2,3,4,0
189,0,3,0,0,40,1,1,15.5,-1,1,2,4,2
190,0,3,0,0,36,0,0,7.8958,-1,2,1,3,0
191,1,2,1,1,32,0,0,13.0,-1,2,2,3,0
192,0,2,0,0,19,0,0,13.0,-1,2,2,1,0
193,1,3,2,1,19,1,0,7.8542,-1,2,1,1,1
194,1,2,3,0,3,1,1,26.0,5,2,3,0,2
195,1,1,1,1,44,0,0,27.7208,1,0,3,4,0
196,1,1,2,1,58,0,0,146.5208,1,0,15,5,0
197,0,3,0,0,0,0,0,7.75,-1,1,1,-1,0
198,0,3,0,0,42,0,1,8.4042,-1,2,1,4,1
199,1,3,2,1,0,0,0,7.75,-1,1,1,-1,0
200,0,2,1,1,24,0,0,13.0,-1,2,2,2,0
201,0,3,0,0,28,0,0,9.5,-1,2,1,2,0
202,0,3,0,0,0,8,2,69.55,-1,2,7,-1,10
203,0,3,0,0,34,0,0,6.4958,-1,2,1,3,0
204,0,3,0,0,45,0,0,7.225,-1,0,1,4,0
205,1,3,0,0,18,0,0,8.05,-1,2,1,1,0
206,0,3,2,1,2,0,1,10.4625,6,2,2,0,1
207,0,3,0,0,32,1,0,15.85,-1,2,2,3,1
208,1,3,0,0,26,0,0,18.7875,-1,0,2,2,0
209,1,3,2,1,16,0,0,7.75,-1,1,1,1,0
210,1,1,0,0,40,0,0,31.0,0,0,4,4,0
211,0,3,0,0,24,0,0,7.05,-1,2,1,2,0
212,1,2,2,1,35,0,0,21.0,-1,2,3,3,0
213,0,3,0,0,22,0,0,7.25,-1,2,1,2,0
214,0,2,0,0,30,0,0,13.0,-1,2,2,3,0
215,0,3,0,0,0,1,0,7.75,-1,1,1,-1,1
216,1,1,2,1,31,1,0,113.275,3,0,12,3,1
217,1,3,2,1,27,0,0,7.925,-1,2,1,2,0
218,0,2,0,0,42,1,0,27.0,-1,2,3,4,1
219,1,1,2,1,32,0,0,76.2917,3,0,8,3,0
220,0,2,0,0,30,0,0,10.5,-1,2,2,3,0
221,1,3,0,0,16,0,0,8.05,-1,2,1,1,0
222,0,2,0,0,27,0,0,13.0,-1,2,2,2,0
223,0,3,0,0,51,0,0,8.05,-1,2,1,5,0
224,0,3,0,0,0,0,0,7.8958,-1,2,1,-1,0
225,1,1,0,0,38,1,0,90.0,2,2,10,3,1
226,0,3,0,0,22,0,0,9.35,-1,2,1,2,0
227,1,2,0,0,19,0,0,10.5,-1,2,2,1,0
228,0,3,0,0,20,0,0,7.25,-1,2,1,2,0
229,0,2,0,0,18,0,0,13.0,-1,2,2,1,0
230,0,3,2,1,0,3,1,25.4667,-1,2,3,-1,4
231,1,1,1,1,35,1,0,83.475,2,2,9,3,1
232,0,3,0,0,29,0,0,7.775,-1,2,1,2,0
233,0,2,0,0,59,0,0,13.5,-1,2,2,5,0
234,1,3,2,1,5,4,2,31.3875,-1,2,4,0,6
235,0,2,0,0,24,0,0,10.5,-1,2,2,2,0
236,0,3,2,1,0,0,0,7.55,-1,2,1,-1,0
237,0,2,0,0,44,1,0,26.0,-1,2,3,4,1
238,1,2,2,1,8,0,2,26.25,-1,2,3,0,2
239,0,2,0,0,19,0,0,10.5,-1,2,2,1,0
240,0,2,0,0,33,0,0,12.275,-1,2,2,3,0
241,0,3,2,1,0,1,0,14.4542,-1,0,2,-1,1
242,1,3,2,1,0,1,0,15.5,-1,1,2,-1,1
243,0,2,0,0,29,0,0,10.5,-1,2,2,2,0
244,0,3,0,0,22,0,0,7.125,-1,2,1,2,0
245,0,3,0,0,30,0,0,7.225,-1,0,1,3,0
246,0,1,0,0,44,2,0,90.0,2,1,10,4,2
247,0,3,2,1,25,0,0,7.775,-1,2,1,2,0
248,1,2,1,1,24,0,2,14.5,-1,2,2,2,2
249,1,1,0,0,37,1,1,52.5542,3,2,6,3,2
250,0,2,0,0,54,1,0,26.0,-1,2,3,5,1
251,0,3,0,0,0,0,0,7.25,-1,2,1,-1,0
252,0,3,1,1,29,1,1,10.4625,6,2,2,2,2
253,0,1,0,0,62,0,0,26.55,2,2,3,6,0
254,0,3,0,0,30,1,0,16.1,-1,2,2,3,1
255,0,3,1,1,41,0,2,20.2125,-1,2,3,4,2
256,1,3,1,1,29,0,2,15.2458,-1,0,2,2,2
257,1,1,1,1,0,0,0,79.2,-1,0,8,-1,0
258,1,1,2,1,30,0,0,86.5,1,2,9,3,0
259,1,1,2,1,35,0,0,512.3292,-1,0,21,3,0
260,1,2,1,1,50,0,1,26.0,-1,2,3,5,1
261,0,3,0,0,0,0,0,7.75,-1,1,1,-1,0
262,1,3,3,0,3,4,2,31.3875,-1,2,4,0,6
263,0,1,0,0,52,1,1,79.65,4,2,8,5,2
264,0,1,0,0,40,0,0,0.0,1,2,1,4,0
265,0,3,2,1,0,0,0,7.75,-1,1,1,-1,0
266,0,2,0,0,36,0,0,10.5,-1,2,2,3,0
267,0,3,0,0,16,4,1,39.6875,-1,2,4,1,5
268,1,3,0,0,25,1,0,7.775,-1,2,1,2,1
269,1,1,1,1,58,0,1,153.4625,2,2,16,5,1
270,1,1,2,1,35,0,0,135.6333,2,2,14,3,0
271,0,1,0,0,0,0,0,31.0,-1,2,4,-1,0
272,1,3,0,0,25,0,0,0.0,-1,2,1,2,0
273,1,2,1,1,41,0,1,19.5,-1,2,2,4,1
274,0,1,0,0,37,0,1,29.7,2,0,3,3,1
275,1,3,2,1,0,0,0,7.75,-1,1,1,-1,0
276,1,1,2,1,63,1,0,77.9583,3,2,8,6,1
277,0,3,2,1,45,0,0,7.75,-1,2,1,4,0
278,0,2,0,0,0,0,0,0.0,-1,2,1,-1,0
279,0,3,3,0,7,4,1,29.125,-1,1,3,0,5
280,1,3,1,1,35,1,1,20.25,-1,2,3,3,2
281,0,3,0,0,65,0,0,7.75,-1,1,1,6,0
282,0,3,0,0,28,0,0,7.8542,-1,2,1,2,0
283,0,3,0,0,16,0,0,9.5,-1,2,1,1,0
284,1,3,0,0,19,0,0,8.05,-1,2,1,1,0
285,0,1,0,0,0,0,0,26.0,0,2,3,-1,0
286,0,3,0,0,33,0,0,8.6625,-1,0,1,3,0
287,1,3,0,0,30,0,0,9.5,-1,2,1,3,0
288,0,3,0,0,22,0,0,7.8958,-1,2,1,2,0
289,1,2,0,0,42,0,0,13.0,-1,2,2,4,0
290,1,3,2,1,22,0,0,7.75,-1,1,1,2,0
291,1,1,2,1,26,0,0,78.85,-1,2,8,2,0
292,1,1,1,1,19,1,0,91.0792,1,0,10,1,1
293,0,2,0,0,36,0,0,12.875,3,0,2,3,0
294,0,3,2,1,24,0,0,8.85,-1,2,1,2,0
295,0,3,0,0,24,0,0,7.8958,-1,2,1,2,0
296,0,1,0,0,0,0,0,27.7208,-1,0,3,-1,0
297,0,3,0,0,23,0,0,7.2292,-1,0,1,2,0
